"acc_y";"acc_z";"time_ms";"acc_x"
414;474;5904;-782
414;448;5908;-782
393;448;5913;-782
387;464;5918;-758
412;486;5923;-777
412;486;5928;-777
412;486;5933;-777
391;447;5938;-777
382;463;5943;-777
382;463;5947;-755
382;463;5952;-755
382;463;5957;-756
410;488;5962;-756
392;450;5967;-788
392;461;5972;-788
383;461;5977;-764
383;461;5982;-765
383;461;5986;-765
408;483;5991;-765
408;483;5996;-789
409;481;6001;-757
409;481;6006;-757
382;458;6011;-757
382;485;6016;-757
409;485;6021;-757
416;486;6025;-771
416;486;6030;-765
416;453;6035;-765
381;453;6040;-765
407;482;6045;-758
407;482;6050;-778
407;482;6055;-778
407;482;6060;-778
410;482;6064;-778
392;451;6069;-763
405;485;6074;-751
405;485;6079;-751
405;485;6084;-767
416;488;6089;-767
399;453;6094;-785
399;453;6098;-785
399;453;6103;-754
399;453;6108;-754
407;486;6113;-754
419;488;6118;-771
404;458;6123;-771
404;458;6128;-787
404;458;6133;-755
381;450;6137;-755
418;485;6142;-755
418;485;6147;-766
418;485;6152;-787
418;485;6157;-787
403;457;6162;-787
384;451;6167;-787
384;451;6172;-768
416;487;6176;-774
416;487;6181;-788
403;461;6186;-788
403;461;6191;-788
380;446;6196;-768
380;446;6201;-769
380;446;6206;-769
398;478;6211;-769
398;478;6215;-769
398;461;6220;-788
380;448;6225;-773
380;448;6230;-756
380;448;6235;-756
398;478;6240;-788
403;465;6245;-788
403;465;6250;-788
403;465;6254;-788
403;465;6259;-773
378;446;6264;-773
395;473;6269;-755
415;486;6274;-787
415;486;6279;-787
383;445;6284;-772
383;445;6289;-772
383;445;6293;-772
383;445;6298;-754
397;473;6303;-754
397;473;6308;-768
415;484;6313;-768
383;448;6318;-775
383;448;6323;-775
395;477;6328;-752
395;477;6332;-762
395;477;6337;-762
416;485;6342;-762
416;485;6347;-762
409;469;6352;-777
409;469;6357;-777
394;476;6362;-758
394;476;6367;-758
414;486;6371;-768
407;470;6376;-783
407;470;6381;-751
407;470;6386;-751
407;475;6391;-751
393;475;6396;-763
393;487;6401;-777
417;487;6406;-777
417;487;6410;-777
411;476;6415;-777
387;448;6420;-756
414;486;6425;-766
414;486;6430;-766
414;486;6435;-783
406;472;6440;-783
386;444;6445;-781
386;444;6449;-781
386;444;6454;-763
386;444;6459;-763
414;484;6464;-763
409;477;6469;-780
409;450;6474;-780
390;450;6479;-780
390;450;6483;-765
390;474;6488;-765
390;473;6493;-765
409;473;6498;-781
409;473;6503;-780
409;473;6508;-780
386;448;6513;-780
386;467;6518;-780
386;467;6522;-755
407;478;6527;-780
407;478;6532;-782
407;448;6537;-782
388;448;6542;-782
387;469;6547;-782
387;469;6552;-756
387;469;6557;-756
387;484;6561;-780
413;484;6566;-780
387;450;6571;-784
383;463;6576;-755
383;463;6581;-755
383;463;6586;-760
383;463;6591;-783
412;485;6596;-783
412;485;6600;-783
395;449;6605;-783
395;449;6610;-759
388;464;6615;-759
413;487;6620;-759
413;484;6625;-759
414;484;6630;-782
387;461;6635;-758
387;461;6639;-758
387;461;6644;-758
387;461;6649;-758
409;483;6654;-777
409;483;6659;-777
413;482;6664;-777
380;460;6669;-777
380;460;6674;-764
404;487;6678;-760
404;487;6683;-778
411;483;6688;-778
411;483;6693;-778
394;453;6698;-760
394;453;6703;-758
394;453;6708;-758
394;485;6713;-758
407;485;6717;-758
414;484;6722;-775
396;454;6727;-784
396;454;6732;-784
396;454;6737;-755
408;483;6742;-755
416;481;6747;-773
416;481;6752;-773
416;481;6756;-785
416;481;6761;-785
397;452;6766;-785
382;455;6771;-754
414;486;6776;-754
414;486;6781;-774
414;486;6786;-786
399;455;6791;-786
380;450;6795;-786
380;450;6800;-769
380;450;6805;-773
380;450;6810;-773
414;484;6815;-773
398;460;6820;-773
398;460;6825;-788
380;452;6830;-765
380;452;6834;-769
400;482;6839;-769
